OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
1806,Parc,de,Verdelles,2015-000,0.5840060119136743,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de quartier
1807,Parc,,Mullins / Richmond,0719-000,0.1157735390380869,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
1808,,,Canning,0620-045,0.030464547404618725,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Passage
1809,,,Frank-Selke / Charon,1110-000,0.19250130553714193,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Îlot de verdure
1810,,,Charlevoix / Notre-Dame,1013-000,0.046256249559406264,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Îlot de voirie
1811,Parc,,Wilfrid-Vincent,2424-000,0.11079997534958602,Ville de Montréal,Lachine,Arrondissement,Parc d'arrondissement,Parc de voisinage
1812,,,Tunnel Saint-Rémi,0347-002,0.23672692483578586,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Parc écran
1813,Des,,Jésuites,1641-089,0.005531803999545802,Ville de Montréal,Ahuntsic-Cartierville,Arrondissement,Espace voirie,Îlot de voirie
1814,Parc,d',Antioche,2017-000,0.7682030006934789,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de voisinage
1815,Parc,de,Peterborough,2011-000,1.3293648127255677,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Parc de quartier
